DIRECTION - Inward,,,,,,,,,,,,,,,,,,,,,,
MEASURE - US dollars at current prices in millions,,,,,,,,,,,,,,,,,,,,,,
MODE - Flow,,,,,,,,,,,,,,,,,,,,,,
YEAR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ECONOMY,,,,,,,,,,,,,,,,,,,,,,
          Angola,2471.401,878.601,2145.501,1743.504,3576.97178,2197.22782,-1303.83693,-37.7148599,-893.342152,1678.97101,2205.29818,-3227.211182,-3023.770966,-1464.627991,-7120.017424,3657.514667,10028.21516,-179.5176189,-7397.295409,-6456.076413,-4098.478748,-1866.468113
          Benin,39.26431584,59.73656415,43.8585123,13.50812353,44.73158981,63.84432645,53.04397613,53.20048194,255.2439454,169.8350845,134.2860652,176.8040914,161.091348,281.564834,360.3433831,405.7373285,149.7556121,131.790684,200.9027192,194.0736833,218.2078716,175.8637696
          Botswana,36.67437936,61.24330139,30.68191933,403.4139037,417.9857089,391.0666988,278.5914859,486.3900373,494.5869316,520.9177751,208.6993468,218.3799983,293.2077746,146.4941765,67.13663298,515.1840884,378.5538701,142.5225765,260.5750454,285.9550619,93.60712713,80.06275641
          Burkina Faso,7.92595083,23.10752048,6.267060825,15.02608366,29.12250516,14.34831578,34.1518348,33.59406376,343.5350233,105.7714854,100.8966805,34.61901118,143.6573095,329.3008989,490.4034144,356.4038229,231.9017029,390.6221139,2.57269032,268.4149081,162.969543,148.5557263
          Burundi,-0.572606789,11.68324608,-0.002288183,..,..,0.044690708,0.584700161,0.031593887,0.500244946,3.833211042,0.348404299,0.780580947,3.355008049,0.6049196,7.407171159,47.06100928,7.360526937,0.055480793,0.316473449,0.983747125,1.044958864,6.05709038
          Cabo Verde,61.12945837,43.44576577,12.68305292,38.52445077,12.41325197,35.52927557,53.43892067,102.8544422,210.9789586,309.5749831,164.8307729,240.3228601,266.7484519,137.7493299,72.0880824,183.5600723,120.3906157,124.7263357,110.8416831,109.7868685,106.5202899,73.14806184
          Cameroon,-15.4947,158.8009999,73.2851,601.7459999,336.2679999,86.1221,234.007,16.384,191.017,-24.1980188,668.3289999,-0.551,355.3999999,739.177,567.239,726.548,627.442,663.7889999,814.0019999,761.5495497,1026.915328,488.2293829
          Central African Republic,5.976946527,0.8890749,5.1838988,5.6442865,11.3,15.1,10.1,34.67,56.75,117.11,42.28,61.52,36.9084558,70.0351573,1.8527926,3.4750079,3,7.256090484,6.888751401,18.00353546,25.60115729,34.74719647
          Chad,24.52497081,115.1724215,459.8663918,924.1192101,712.6634549,466.7934921,-99.34251936,-278.4139999,-321.6549999,466.1309999,374.8999999,313,281.8999999,579.7930374,520.2007513,-675.5459154,559.6420225,244.682121,363.3816364,460.8905076,566.638948,557.6925033
          Comoros,0.271,0.093636115,1.145914995,0.430423479,0.791465933,0.671354369,0.558643684,0.777727913,7.681788844,4.631825734,13.78410798,8.342262113,23.0881605,10.41204973,4.231644417,4.684558642,4.936699549,3.56982374,3.919473045,5.672348126,3.677361424,8.555423935
          Congo,520.6375193,165.9044687,77.25373411,136.7785385,323.1297316,-8.487842736,585.1634602,553.5829716,1467.628691,2031.879948,1272.939054,928.4360065,186.3050103,-282.835188,609.4404818,1659.450225,3803.300133,1611.618196,4416.953734,4315.250918,3366.085012,4015.531451
